,Name of Movie,Release Year,Run Time,Rating,Total Votes,Metascore,Category
0,Deadpool 2,2018,1h 59m,7.6,"637,261",66,R
1,Once Upon a Time... in Hollywood,2019,2h 41m,7.6,"833,673",84,R
2,Aftersun,2022,1h 42m,7.6,"88,222",95,R
3,Harry Potter and the Sorcerer's Stone,2001,2h 32m,7.6,"849,130",65,PG
4,American Psycho,2000,1h 42m,7.6,"704,842",64,R
5,Watchmen,2009,2h 42m,7.6,"578,847",56,R
6,The Fifth Element,1997,2h 6m,7.6,"501,875",52,PG-13
7,Moneyball,2011,2h 13m,7.6,"460,346",87,PG-13
8,Kung Fu Panda,2008,1h 32m,7.6,"512,477",74,PG
9,Office Space,1999,1h 29m,7.6,"285,474",68,R
10,My Cousin Vinny,1992,2h,7.6,"138,676",68,R
11,Stardust,2007,2h 7m,7.6,"283,748",66,PG-13
12,Hell or High Water,2016,1h 42m,7.6,"250,222",88,R
13,Despicable Me,2010,1h 35m,7.6,"579,713",72,PG
14,300,2006,1h 57m,7.6,"859,162",52,R
15,RoboCop,1987,1h 42m,7.6,"280,323",70,R
16,Gone Baby Gone,2007,1h 54m,7.6,"290,578",72,R
17,Star Wars: Episode III - Revenge of the Sith,2005,2h 20m,7.6,"838,797",68,PG-13
18,True Grit,2010,1h 50m,7.6,"355,645",80,PG-13
19,Kick-Ass,2010,1h 57m,7.6,"589,859",66,R
20,The Road Warrior,1981,1h 36m,7.6,"192,015",77,R
21,What We Do in the Shadows,2014,1h 26m,7.6,"198,702",76,R
22,Saw,2004,1h 43m,7.6,"462,960",46,R
23,The Butterfly Effect,2004,1h 53m,7.6,"517,973",30,R
24,Midnight in Paris,2011,1h 34m,7.6,"447,508",81,PG-13
25,Minority Report,2002,2h 25m,7.6,"580,587",80,PG-13
26,Guardians of the Galaxy Vol. 2,2017,2h 16m,7.6,"752,772",67,PG-13
27,Eastern Promises,2007,1h 40m,7.6,"259,158",83,R
28,The Others,2001,1h 44m,7.6,"390,569",74,PG-13
29,The Thin Red Line,1998,2h 50m,7.6,"198,363",78,R
30,End of Watch,2012,1h 49m,7.6,"266,635",68,R
31,The Machinist,2004,1h 41m,7.6,"413,056",61,R
32,Rebel Without a Cause,1955,1h 51m,7.6,"97,329",89,PG-13
33,The Blind Side,2009,2h 9m,7.6,"357,963",53,PG-13
34,Dark Waters,2019,2h 6m,7.6,"99,835",73,PG-13
35,3:10 to Yuma,2007,2h 2m,7.6,"329,393",76,R
